,BGN,BGNx3,Base,G,G&I,I,node_name,node_id,neighborhood,historic_stream
39,-4.0420406799412945e-08,1.0169362579803831e-07,0.0,-0.0014556796469130107,-0.02061162824711521,-0.019139177795693407,J33-S_depth,J33-S,Locust Point,"Southside, Drains to Harbor"
40,-4.463674999066747e-09,-2.2841148972219116e-09,0.0,-0.00030425591815538833,-0.00030407626868889093,1.795759717038159e-07,J34-S_depth,J34-S,Locust Point,"Southside, Drains to Harbor"
41,-0.0036853058495364688,-0.0076530512000257955,0.0,-0.01274197575506078,-0.04767922293577179,-0.04085281802249088,J361-S_depth,J361-S,Eager Park,Canal Street Creek
42,-0.006256514520666334,-0.011309969474530696,0.0,-0.019288396318168616,-0.07792854683444922,-0.0625965601789133,J366-S_depth,J366-S,Eager Park,Canal Street Creek
43,-0.0025133148476191858,-0.004331774867791988,0.0,-0.007780452996548892,0.015438234818812485,0.023501535910440324,J385-S_depth,J385-S,Johnston Square,Harris Creek
44,-1.3781623725561687e-07,-4.939946179893795e-08,0.0,-0.0011844661520779565,-0.04525119330843577,-0.04467053242841709,J3-S_depth,J3-S,Fells Point,"Northside, Drains to Harbor"
45,-0.001523395455349491,9.818918292603396e-06,0.0,-0.0019056560160854996,-0.0018379450491465,7.168411935390417e-05,J413-S_depth,J413-S,Broadway East,Harris Creek
46,-0.003246135219000079,-0.004658819069422171,0.0,-0.009324619315369487,-0.032316392989905185,-0.021789707029059968,J421-S_depth,J421-S,McElderry Park,Harris Creek
47,-8.447114605014683e-09,-4.583807597380307e-09,0.0,-0.00019551433723639933,-0.00019473807592980397,7.766083216925734e-07,J42-S_depth,J42-S,Locust Point,"Southside, Drains to Harbor"
48,-4.370001341069685e-07,-6.452606576001774e-07,0.0,-0.0003854295698415,5.643749344880211e-05,0.00044242774408720376,J433-S_depth,J433-S,Madison-Eastend,Harris Creek
49,-0.0028736169763032837,-0.01311105732366269,0.0,-0.018223317627391183,-0.07193599705360719,-0.05641497226856919,J437-S_depth,J437-S,Patterson Park,Harris Creek
50,-0.007944080437258194,-0.011908475854716105,0.0,-0.02375093765764419,-0.164470264744835,-0.1330090718464712,J438-S_depth,J438-S,McElderry Park,Harris Creek
51,1.6974406484016047e-06,2.8503267371082774e-06,0.0,-0.00031152181833499215,-0.002205851588473584,-0.0018952938327566893,J450-S_depth,J450-S,Madison-Eastend,Harris Creek
52,-5.461684867591465e-06,6.430582829008991e-07,0.0,-0.0001786162762102972,0.0019710534861671902,0.002114054950357297,J456-S_depth,J456-S,Orangeville,Harris Creek
53,-2.9520003302918596e-08,1.0314210693862513e-08,0.0,-0.00027611904356619754,-0.00024019889358689595,2.7913238438592725e-05,J45-S_depth,J45-S,Locust Point,"Southside, Drains to Harbor"
