,node_name,BGN,BGNx3,Base,G,G&I,I,node_id,neighborhood,historic_stream
74,J568-S_depth,0.46932175739534,0.4693217852119842,0.4693217974831193,0.4685440475900532,0.4450914997000851,0.445857664241385,J568-S,Berea,Armistead Creek
75,J571-S_depth,0.1145491166280654,0.1145491265060455,0.1145491293116815,0.1145105717785095,0.1145148306822847,0.1145533442945862,J571-S,Berea,Armistead Creek
76,J576-S_depth,0.252598252883084,0.2410628171960937,0.2578307182127908,0.238987076083135,0.1648563805757135,0.1707316375276939,J576-S,Dunbar-Broadway,Canal Street Creek
77,J578-S_depth,0.2610852814824114,0.2526809994889764,0.2643198134020357,0.250649996527557,0.1902910107788516,0.192889052979215,J578-S,Dunbar-Broadway,Canal Street Creek
78,J586-S_depth,0.1336713929541651,0.1336714210131026,0.1336714274671436,0.1331610792842293,0.1075993910387593,0.1080679731925052,J586-S,Dunbar-Broadway,Canal Street Creek
79,J587-S_depth,0.2042340369502434,0.2042340658963848,0.2042341110490374,0.2036734306190588,0.2043397866202101,0.2049000768104867,J587-S,Downtown,"Southside, Drains to Harbor"
80,J592-S_depth,0.1339671531814924,0.1339667914671205,0.1339672192804308,0.1335987574962644,0.1254579521470584,0.125808956476779,J592-S,Dunbar-Broadway,Canal Street Creek
81,J5-S_depth,0.2374278675517377,0.2374277874019054,0.2374277027968707,0.2368089504386621,0.2207985501863182,0.2214306076385393,J5-S,Canton,"Northside, Drains to Harbor"
82,J609-S_depth,0.1157746234319509,0.11577464421816,0.1157746397222507,0.115491155559714,0.114540489049156,0.114823212049317,J609-S,Dunbar-Broadway,Canal Street Creek
83,J60-S_depth,0.1724821871579339,0.1724821993847123,0.1724822068944433,0.1719764375669813,0.1719847530431834,0.1724905700107251,J60-S,Downtown,"Southside, Drains to Harbor"
84,J619-S_depth,0.1807693865200649,0.1807694000225424,0.1807694079977698,0.1802004653848706,0.1805001039244247,0.1810698226378682,J619-S,Dunbar-Broadway,Canal Street Creek
85,J620-S_depth,0.4184252569539315,0.4114043786619654,0.4227001788497854,0.4099977156031949,0.4461389432927513,0.4602273065304498,J620-S,Johnston Square,Harris Creek
86,J624-S_depth,0.3646384043151852,0.3583386429487573,0.3679962733921906,0.3571215385144196,0.3928006072531431,0.4044130667496168,J624-S,Johnston Square,Harris Creek
87,J62-S_depth,0.2942211841992067,0.2942212285838003,0.2942212136646207,0.2934804520714604,0.2829970199691832,0.2837586247579695,J62-S,Downtown,"Southside, Drains to Harbor"
