,node_name,BGN,BGNx3,Base,G,G&I,I,node_id,neighborhood
35,J280-S_flow,7.697606885035773,8.155741514831378,8.156840240831924,7.636505166990787,6.074433568307495,6.565121832712424,J280-S,"('Broadway East', 'Canal Street Creek')"
36,J328-S_flow,4.194738358303337,4.193981758506857,4.194355730030976,4.168225762885627,4.168599122509527,4.194738358303337,J328-S,"('Broadway East', 'Canal Street Creek')"
37,J329-S_flow,10.626705176381822,11.097909017070778,11.098000104578423,10.541185940274048,8.740769820558931,9.23741076879954,J329-S,"('Broadway East', 'Canal Street Creek')"
38,J338-S_flow,8.122362077672904,7.963167193798535,8.476376842815153,7.523279672319523,5.553503290423822,5.856091833240903,J338-S,"('Eager Park', 'Canal Street Creek')"
39,J33-S_flow,6.533987086117506,6.533559876483264,6.533771139377168,6.492375463065827,6.49364730509873,6.535058215995357,J33-S,"('Locust Point', 'Southside, Drains to Harbor')"
40,J34-S_flow,3.2799893687151265,3.279817202125078,3.2799023004853765,3.2576553049392096,3.257739041763059,3.2799893687151265,J34-S,"('Locust Point', 'Southside, Drains to Harbor')"
41,J361-S_flow,7.69034126740029,7.470317625902672,7.961735862237619,7.105930532603411,5.063123954686535,5.474501673604882,J361-S,"('Eager Park', 'Canal Street Creek')"
42,J366-S_flow,6.9501967567143135,6.749569960688067,7.284617613426221,6.341421609865432,3.9477794704848543,4.72443182026637,J366-S,"('Eager Park', 'Canal Street Creek')"
43,J385-S_flow,9.881293484311238,9.747148414300742,10.098289597441388,9.45974862544378,11.358307856577676,12.136758955364868,J385-S,"('Johnston Square', 'Harris Creek')"
44,J3-S_flow,5.315968506702654,5.315969152373126,5.315969267239369,5.282328922508225,5.370181193301531,5.404169352317136,J3-S,"('Fells Point', 'Northside, Drains to Harbor')"
45,J413-S_flow,4.775915078437462,4.892611792543611,4.893101282915957,4.7454200703595815,4.745882912462548,4.893602104083959,J413-S,"('Broadway East', 'Harris Creek')"
46,J421-S_flow,13.303423892504131,13.18798344306359,13.61659622875354,12.776813418514932,14.003602243936626,14.90069384071612,J421-S,"('McElderry Park', 'Harris Creek')"
47,J42-S_flow,3.251170275330605,3.2507599810782346,3.250962780983297,3.2309045547209387,3.231106119262737,3.251170275330605,J42-S,"('Locust Point', 'Southside, Drains to Harbor')"
48,J433-S_flow,3.290648112265588,3.2899869855603465,3.2903137667235782,3.270196090160368,3.270523023498154,3.290648112265588,J433-S,"('Madison-Eastend', 'Harris Creek')"
49,J437-S_flow,4.549669798211013,4.019116732385635,4.73666510121061,3.7524430384932743,2.322936371178459,2.722986903077004,J437-S,"('Patterson Park', 'Harris Creek')"
50,J438-S_flow,9.382776913860628,9.27768169667841,9.627405763083503,8.93353664926594,7.391404072030516,8.103613009929582,J438-S,"('McElderry Park', 'Harris Creek')"
51,J450-S_flow,3.185556087044791,3.1855604171543166,3.18555893770053,3.1661426613510697,3.16575087349714,3.1851622613140624,J450-S,"('Madison-Eastend', 'Harris Creek')"
52,J456-S_flow,1.2421334181424382,1.2421725881371135,1.242181707868698,1.2368359090460397,1.2368360523390511,1.24213207260827,J456-S,"('Orangeville', 'Harris Creek')"
