,node_name,BGN,BGNx3,Base,I,UG,V,V&I,node_id,neighborhood,historic_stream
59,J484-S_depth,0.3472311222792023,0.3472326483496671,0.347232058478059,0.3147593298798378,0.3472317992488778,0.3438744575674103,0.311377137407634,J484-S,Baltimore Highlands,Harris Creek
60,J491-S_depth,0.2552721950663524,0.2552725128221953,0.2552728363446643,0.2387591249622002,0.2552724591696161,0.2528772270835451,0.2363938305640296,J491-S,Kresson,Harris Creek
61,J492-S_depth,0.0993156060081543,0.09931553030424,0.0993156284868292,0.099320191754542,0.0993150006407604,0.0989564371800508,0.0989602671174829,J492-S,Baltimore Highlands,Harris Creek
62,J49-S_depth,0.1070836672228382,0.0945735063947342,0.1070836839069656,0.1070846447758122,0.1070830353159728,0.1068073921944789,0.1068083108224817,J49-S,Washington Hill,Canal Street Creek
63,J4-S_depth,0.1682084605821334,0.1682086998004326,0.1682070058330157,0.1434375349305294,0.1682148886333198,0.1682102017908683,0.1434393400050786,J4-S,Canton,"Northside, Drains to Harbor"
64,J506-S_depth,0.1980022458826819,0.1980018515286549,0.1979981373577588,0.1993280616354897,0.1980019538106801,0.1972861411760796,0.198618603753005,J506-S,Baltimore Highlands,Harris Creek
65,J507-S_depth,0.3983724351829914,0.3983143714102702,0.3983734079364887,0.3553244919551142,0.3983732354940172,0.3951108781023722,0.3520838533533539,J507-S,Patterson Park,Harris Creek
66,J50-S_depth,0.1334454546333905,0.1180108568168197,0.1334454514319756,0.1316244175701399,0.1334454858079104,0.1309683533843656,0.1291638384458659,J50-S,Washington Hill,Canal Street Creek
67,J512-S_depth,0.2901398895063463,0.290071623114189,0.2901398625873272,0.2538762833210407,0.290139930850037,0.2875334910120969,0.2514070334288624,J512-S,Patterson Park,Harris Creek
68,J534-S_depth,0.2072311080705397,0.203032067243615,0.2072313343662093,0.1889978675798978,0.2072312170714647,0.2066855297221936,0.1883970423895723,J534-S,Patterson Park,Harris Creek
69,J539-S_depth,0.3532189690728216,0.3532189548650605,0.3532189621053098,0.3205834706561856,0.3532189300936204,0.3401556342261852,0.3080731611290175,J539-S,Canton,"Northside, Drains to Harbor"
70,J541-S_depth,0.1542482542498825,0.1542480113762527,0.1542479257361862,0.1543868503187541,0.1542481321373979,0.1537221032333083,0.153855475980047,J541-S,Canton Industrial Area,"Northside, Drains to Harbor"
71,J548-S_depth,0.2981106671487626,0.2981106204572487,0.2981106123858393,0.2999376025203573,0.2981105978506135,0.2871246723178788,0.2888068103133542,J548-S,Canton,"Northside, Drains to Harbor"
72,J556-S_depth,0.2966548833932515,0.2966548283979637,0.296654884524073,0.2488095445570897,0.2966548110369092,0.296654832581983,0.2488095434074695,J556-S,Canton,Harris Creek
73,J567-S_depth,0.1280149028717103,0.1280148453457126,0.1280148584186322,0.1257756429898288,0.1280147920953634,0.1276826583008221,0.1254466429943535,J567-S,Berea,Armistead Creek
74,J568-S_depth,0.310170751954409,0.310170715269999,0.3101707199229643,0.2855451511286279,0.310170989491655,0.308938397733631,0.2843063269444011,J568-S,Berea,Armistead Creek
75,J571-S_depth,0.0805792208657735,0.0805792212261301,0.0805792269281534,0.0805791608609928,0.0805791968648649,0.0802570378384197,0.0802569749913979,J571-S,Berea,Armistead Creek
76,J576-S_depth,0.2486279676747248,0.2370642371971489,0.2532690115491817,0.1728785925495279,0.2420223761685707,0.2368992924954931,0.1671694423296383,J576-S,Dunbar-Broadway,Canal Street Creek
77,J578-S_depth,0.2635359964543677,0.2550491745942632,0.2664178533081821,0.195801274385808,0.2483580929544136,0.2521049926841937,0.1914590651633331,J578-S,Dunbar-Broadway,Canal Street Creek
78,J586-S_depth,0.1355180645903889,0.1355180398954311,0.1355180914140734,0.1097734804526469,0.1355177326982755,0.1330867010069418,0.1075545713947495,J586-S,Dunbar-Broadway,Canal Street Creek
79,J587-S_depth,0.2077431458271727,0.2077430320361174,0.2077430857216049,0.2082873779443335,0.2077428666108049,0.2028031303940587,0.2033638510107779,J587-S,Downtown,"Southside, Drains to Harbor"
80,J592-S_depth,0.1354407926775809,0.1354398590258223,0.1354399782810487,0.1271783241415411,0.1354389232148185,0.1338465903261785,0.1256230258521884,J592-S,Dunbar-Broadway,Canal Street Creek
81,J5-S_depth,0.2393856227721378,0.2393857652856248,0.2393853540489284,0.2236189555068139,0.2393881124909915,0.239386337601789,0.2236196295282983,J5-S,Canton,"Northside, Drains to Harbor"
82,J609-S_depth,0.116540703501813,0.1165406985326706,0.1165406792977095,0.115587363915982,0.1165412956955317,0.1149888122614027,0.1140397322129219,J609-S,Dunbar-Broadway,Canal Street Creek
83,J60-S_depth,0.1737468809469936,0.1737468502422958,0.173746853250999,0.1737544128451295,0.1737468359039082,0.1734299869210712,0.173437454962428,J60-S,Downtown,"Southside, Drains to Harbor"
84,J619-S_depth,0.1821508499302984,0.1821508246617681,0.1821508276391427,0.1824532548465521,0.1821506810040296,0.1791638513601535,0.17946193463058,J619-S,Dunbar-Broadway,Canal Street Creek
85,J620-S_depth,0.3936507616113545,0.3872474327931522,0.3990473375212731,0.4332131647927157,0.3932532268585316,0.3839438229799783,0.416047760306743,J620-S,Johnston Square,Harris Creek
86,J624-S_depth,0.3469600738245953,0.3417998989901876,0.3514956114563394,0.3840772981989893,0.3444006638074637,0.3378352664947193,0.3691501546261738,J624-S,Johnston Square,Harris Creek
87,J62-S_depth,0.2964815613840741,0.296481472582469,0.2964815077900437,0.2860810462992801,0.2964814872778717,0.2960382247886035,0.2856253675996458,J62-S,Downtown,"Southside, Drains to Harbor"
88,J632-S_depth,0.1251130799015692,0.1251130423239649,0.1251130481448907,0.1251471384182407,0.1251130175493945,0.1236744871247347,0.123708144301903,J632-S,Eager Park,Canal Street Creek
89,J637-S_depth,0.256780741861933,0.2481228258698772,0.2600312557522087,0.2055876708209992,0.2595711126078945,0.2480835424692327,0.1989384680327806,J637-S,Eager Park,Canal Street Creek
90,J640-S_depth,0.2321153704905262,0.2236259969970571,0.2348438041375976,0.1769155975260214,0.2367903833299745,0.2227141227586271,0.1711033357413517,J640-S,Eager Park,Canal Street Creek
91,J659-S_depth,0.1947513500024904,0.1947512273133671,0.194751293826277,0.1948510595824524,0.1947510406594271,0.1930985124706158,0.1930869302260451,J659-S,Baltimore Highlands,Harris Creek
92,J672-S_depth,0.1634946521555749,0.1633551416891664,0.1635356103284736,0.1571108386020334,0.1634135751348701,0.1627360726823661,0.1560786380324084,J672-S,Canton,Harris Creek
93,J675-S_depth,0.1889692928817162,0.1889692076442134,0.1889692565581283,0.1892043765569525,0.1889691142483995,0.1889692136917061,0.1892043617585773,J675-S,Canton,Harris Creek
94,J686-S_depth,0.1271726207319672,0.1271724591206141,0.1271729241530091,0.1297980184880598,0.1271702818960366,0.1272167969963156,0.1299104692170433,J686-S,Canton,Harris Creek
95,J694-S_depth,0.0235959227007279,0.0238010170817385,0.0238008136045574,0.0240301225520674,0.0236409326150867,0.0238086352973951,0.0240378993053766,J694-S,Canton,Harris Creek
96,J695-S_depth,0.1657289056292705,0.1656218507550947,0.1657630613812515,0.1466843148411134,0.1656501524119074,0.1651636626910576,0.1461028244811742,J695-S,Canton,Harris Creek
97,J712-S_depth,0.1236877675618716,0.1169655314073379,0.1236912810472105,0.1239556763271327,0.1236889677143773,0.1228407412768989,0.123105459367317,J712-S,Patterson Park,Harris Creek
98,J714-S_depth,0.1843853467448438,0.1843852948452577,0.1843853205564099,0.1844686118105878,0.1843852488849957,0.1843641479104586,0.1844474091235855,J714-S,Upper Fells Point,"Northside, Drains to Harbor"
99,J71-S_depth,0.332298516845755,0.3322662896815694,0.3322755135428809,0.3044302461879126,0.3322665656636354,0.3310990609192017,0.3033341417356608,J71-S,Federal Hill,"Southside, Drains to Harbor"
100,J722-S_depth,0.0946062788537857,0.0946066852170584,0.0946067770234669,0.094782153964366,0.0946059086316767,0.0946061653079392,0.0947819549912226,J722-S,Fells Point,"Northside, Drains to Harbor"
101,J72-S_depth,0.1048639242332156,0.1048638541476527,0.1048639853790733,0.1048653608265736,0.1048631635793809,0.1044436110519242,0.1044450058033893,J72-S,Federal Hill,"Southside, Drains to Harbor"
102,J732-S_depth,0.2868728640603764,0.2868728203961477,0.2868728826107687,0.2549225882473945,0.2868728258360349,0.2868318785337765,0.254879262426132,J732-S,Fells Point,"Northside, Drains to Harbor"
103,J733-S_depth,0.1360385621650229,0.1360382097570925,0.1360384988211573,0.1360878619142837,0.1360372065854531,0.1360379832460236,0.1360870831272949,J733-S,Canton,"Northside, Drains to Harbor"
104,J748-S_depth,0.1497666307218412,0.1491188901190427,0.1499044560363623,0.1041933249789221,0.1467296196620399,0.1465466721593095,0.1020942028802674,J748-S,Washington Hill,Canal Street Creek
105,J749-S_depth,0.1730711955993616,0.1577250900506123,0.1730754955973714,0.1561623174683626,0.1726301039166049,0.1704055694356462,0.154001948201072,J749-S,Fells Point,Canal Street Creek
106,J751-S_depth,0.121830182242465,0.121830174185125,0.1218301742303026,0.1218301753349799,0.1218301716326651,0.1214852226595763,0.1214852224840924,J751-S,Fells Point,"Northside, Drains to Harbor"
107,J756-S_depth,0.2125098985273487,0.2125098684857472,0.2125098975984252,0.2161515103287799,0.2125097598118921,0.2098929543537463,0.2130413784658424,J756-S,Upper Fells Point,"Northside, Drains to Harbor"
108,J758-S_depth,0.1369058249099151,0.1369057697720367,0.136905799427655,0.1350316182253425,0.1369056785412843,0.1362824484066667,0.134450830620077,J758-S,Fells Point,"Northside, Drains to Harbor"
109,J760-S_depth,0.1021807609225451,0.102179258621479,0.1021789087903927,0.0996135759143623,0.1021817796545558,0.1021810900037792,0.0996140461839678,J760-S,Fells Point,"Northside, Drains to Harbor"
110,J761-S_depth,0.3856921920253615,0.3563124496259126,0.3856962248102351,0.3278550758503331,0.384972728126738,0.3805739379596035,0.3238846120460851,J761-S,Fells Point,Canal Street Creek
111,J762-S_depth,0.1016500549949702,0.1016500196297937,0.101650145990142,0.1016556561787456,0.1016494041121885,0.1016047431527278,0.1016102368193351,J762-S,Canton Industrial Area,"Northside, Drains to Harbor"
112,J764-S_depth,0.147356005630866,0.1473559078815641,0.1473560444695504,0.1398329690556224,0.1473557669183072,0.1463942834516584,0.1395743258429292,J764-S,Fells Point,"Northside, Drains to Harbor"
113,J765-S_depth,0.1602757988076678,0.1602758788752462,0.1602759295051997,0.1294387168717864,0.1602764215191172,0.1602691956815736,0.1294420247266142,J765-S,Fells Point,"Northside, Drains to Harbor"
114,J772-S_depth,0.2057159856371135,0.2057158371453114,0.2057158677505072,0.1974377177589566,0.2057156435066341,0.1981979129787829,0.1902737885999193,J772-S,Canton,"Northside, Drains to Harbor"
115,J782-S_depth,0.105469742605744,0.1054700565507256,0.1054700197575461,0.1063184778784092,0.1054692677471175,0.1049956237095199,0.1058394673688794,J782-S,Patterson Park,Harris Creek
116,J787-S_depth,0.1197247334446929,0.1197247144813595,0.1197247146319989,0.1197247186630869,0.1197247035378874,0.1194509432730481,0.1194509437784121,J787-S,Berea,Armistead Creek
117,J789-S_depth,0.1576509100747908,0.1566003858213026,0.1578969325074286,0.1309654217701749,0.1540792215041817,0.1544868868778647,0.1289268119975364,J789-S,Dunbar-Broadway,Canal Street Creek
118,J78-S_depth,0.1271142759278935,0.1271142743231209,0.1271142742600461,0.1271148526115496,0.1271142734729434,0.1262831972476463,0.1262837557410714,J78-S,Federal Hill,"Southside, Drains to Harbor"
119,J792-S_depth,0.2708965205077245,0.2709245662155977,0.2708884341547972,0.2727583235873693,0.2709124109775763,0.2695566884972434,0.2714480775761805,J792-S,Canton,"Northside, Drains to Harbor"
120,J799-S_depth,0.1745271624845392,0.1745271139626577,0.1745272045624688,0.1341696808896482,0.1745269782439549,0.1737108888747232,0.1322565139091015,J799-S,Fells Point,"Northside, Drains to Harbor"
121,J7-S_depth,0.2781870839377539,0.2781870849398181,0.2781870821282977,0.2669783953230709,0.2781871269802826,0.2778850657798566,0.2666693385351299,J7-S,Canton Industrial Area,"Northside, Drains to Harbor"
122,J801-S_depth,0.1501046987535021,0.1501046790908139,0.1506527568412207,0.1325722453318027,0.1506525927169309,0.1472746842543438,0.1293981202119934,J801-S,Broadway East,Canal Street Creek
123,J80-S_depth,0.1181566121576569,0.1181466376105623,0.1181490921825516,0.1116534663856157,0.1181467022333658,0.1177864062138921,0.1113018703245454,J80-S,Federal Hill,"Southside, Drains to Harbor"
124,J88-S_depth,0.3429139304973709,0.3429138719207458,0.3429138859173185,0.3323218842991357,0.3429139016607228,0.3403580959194308,0.329736989154982,J88-S,Federal Hill,"Southside, Drains to Harbor"
125,J8-S_depth,0.2527803294975534,0.2527803445701976,0.2527803690108487,0.2487673538446248,0.2527803848506073,0.2527240005777363,0.2487113258481768,J8-S,Canton Industrial Area,"Northside, Drains to Harbor"
