,node_name,BGN,BGNx3,Base,I,UG+I,V,V&I,node_id,neighborhood,historic_stream
26,J240-S_depth,0.1646486413328222,0.1646486409196543,0.1646486455631965,0.1591618549368892,0.1591616249567737,0.1644810018439333,0.1589926918254847,J240-S,Locust Point,"Southside, Drains to Harbor"
27,J245-S_depth,0.2234481437171961,0.2234481271971646,0.223448136737154,0.1815631333291829,0.1815617925426898,0.223283553072119,0.1813828380821149,J245-S,Locust Point,"Southside, Drains to Harbor"
28,J253-S_depth,0.1128146893733012,0.1067422450138206,0.1138473062794641,0.0878879825043625,0.0873750111081829,0.1096963181295839,0.084447332081063,J253-S,Eager Park,Canal Street Creek
29,J260-S_depth,0.1198094278460544,0.1198086284101027,0.1201698313822069,0.1046511347766218,0.1046507620501216,0.1183306676926875,0.1030122230573008,J260-S,Broadway East,Canal Street Creek
30,J266-S_depth,0.1234930271129182,0.1234927304418036,0.1242459787315992,0.1153188829737199,0.1153186485018584,0.1216718387378619,0.1128639710972172,J266-S,Clifton Park,Canal Street Creek
31,J268-S_depth,0.0867942794785803,0.0867945522506374,0.0867800907334121,0.0868887534340876,0.0868893220703071,0.0855840953982414,0.0857153191378907,J268-S,Clifton Park,Canal Street Creek
32,J273-S_depth,0.0628599667044542,0.0628579003842629,0.062845302915598,0.0634646390617603,0.0634669945529692,0.0630010208704798,0.0636018924996843,J273-S,Clifton Park,Canal Street Creek
33,J278-S_depth,0.1406867151462979,0.1406865551759452,0.1463103615171708,0.1078696863328903,0.1077088634613177,0.1411084452094691,0.103807926655112,J278-S,Broadway East,Canal Street Creek
34,J27-S_depth,0.094572484568731,0.094572484568731,0.094572484568731,0.0656378503993894,0.0656396362723874,0.094572484568731,0.0656382836111164,J27-S,Locust Point,"Southside, Drains to Harbor"
35,J280-S_depth,0.2241209799721022,0.2241207450432556,0.2336054536739906,0.1937477444608143,0.1934851847872851,0.224839034610724,0.1876500603854647,J280-S,Broadway East,Canal Street Creek
36,J328-S_depth,0.2691608597848868,0.2691476801713907,0.2687493308947056,0.2740176646466952,0.2740316538948466,0.2640507739088787,0.2691472741213813,J328-S,Broadway East,Canal Street Creek
37,J329-S_depth,0.1590120157836639,0.1590286639685442,0.1612577767546865,0.1340123496940851,0.1339525586991794,0.1557983214528229,0.1289828587242071,J329-S,Broadway East,Canal Street Creek
