,node_name,Base,I,UG+I,V,V&I,node_id,neighborhood,historic_stream
65,J507-S_depth,0.2607783809289703,0.203553753798295,0.2607783604904907,0.2605775869399623,0.2034437354935568,J507-S,Patterson Park,Harris Creek
66,J50-S_depth,0.1421600271127369,0.1415338595937306,0.14216005977314,0.1418924142004597,0.1412665957700218,J50-S,Washington Hill,Canal Street Creek
67,J512-S_depth,0.1645578774499896,0.1106600163420648,0.1645578371130911,0.1644853410535252,0.110591716057077,J512-S,Patterson Park,Harris Creek
68,J534-S_depth,0.2159806275011322,0.2792247465897112,0.2159793497372683,0.2154347161047516,0.2773604517516775,J534-S,Patterson Park,Harris Creek
69,J539-S_depth,0.3045931327486619,0.2914065127645663,0.3045931151745765,0.2930501424186052,0.2799760438388973,J539-S,Canton,"Northside, Drains to Harbor"
70,J541-S_depth,0.1613226385937008,0.1613594275769881,0.1613234923306067,0.1613230607517715,0.161359690997152,J541-S,Canton Industrial Area,"Northside, Drains to Harbor"
71,J548-S_depth,0.3148251287453299,0.3155884395186318,0.3148251287545775,0.3041364343580992,0.3048263133023259,J548-S,Canton,"Northside, Drains to Harbor"
72,J556-S_depth,0.27373187638776,0.2572673819912889,0.2737314254895717,0.2737318514267347,0.2572673335537342,J556-S,Canton,Harris Creek
73,J567-S_depth,0.1282531974662128,0.1176183136923839,0.1282531973543535,0.1279396491727738,0.117321725783826,J567-S,Berea,Armistead Creek
74,J568-S_depth,0.183735802832549,0.1305579083768178,0.1837373212670564,0.1832750661471036,0.1301766330910875,J568-S,Berea,Armistead Creek
75,J571-S_depth,0.0906295645679552,0.0907069633485773,0.0906286016277207,0.0906292495951352,0.0907093014803119,J571-S,Berea,Armistead Creek
76,J576-S_depth,0.1275014197060662,0.0458020398564932,0.1273062896242196,0.12297627630523,0.0438879912908655,J576-S,Dunbar-Broadway,Canal Street Creek
77,J578-S_depth,0.1755586835687513,0.1447262058089123,0.1755585441174669,0.1754925137330335,0.1447299361717935,J578-S,Dunbar-Broadway,Canal Street Creek
78,J586-S_depth,0.0518408329351571,0.026463402690108,0.0518406635921872,0.0514683349584864,0.0262835865306416,J586-S,Dunbar-Broadway,Canal Street Creek
79,J587-S_depth,0.2230367618777509,0.2278297713175268,0.2230365639107087,0.2191036422166236,0.2237989295320893,J587-S,Downtown,"Southside, Drains to Harbor"
80,J592-S_depth,0.0977356082062461,0.078623827904911,0.0977356267018054,0.0973859554543919,0.0782898780412536,J592-S,Dunbar-Broadway,Canal Street Creek
81,J5-S_depth,0.2183878395581435,0.1910404810314802,0.2183901495889801,0.2183883768139733,0.1910406498636152,J5-S,Canton,"Northside, Drains to Harbor"
82,J609-S_depth,0.1309122145319155,0.1323490323935289,0.1309107103603583,0.1309106117442299,0.1323468798692137,J609-S,Dunbar-Broadway,Canal Street Creek
83,J60-S_depth,0.1850244874485176,0.1851070965809944,0.1850236905232966,0.1847924765055865,0.1848749335458752,J60-S,Downtown,"Southside, Drains to Harbor"
84,J619-S_depth,0.2097102997529266,0.2091359528691339,0.2097092794185592,0.2097109791800041,0.2091366646216233,J619-S,Dunbar-Broadway,Canal Street Creek
85,J620-S_depth,0.4909249383623661,0.5092114701677078,0.4831661780101455,0.4732460599864854,0.4930189772451058,J620-S,Broadway East,Harris Creek
86,J624-S_depth,0.4346709232469177,0.4560857155447029,0.4293334737867669,0.4199324790693865,0.4414214776188271,J624-S,Broadway East,Harris Creek
87,J62-S_depth,0.2738012927546231,0.2487688629411915,0.2738006995696688,0.2733378534868949,0.2483206382844172,J62-S,Downtown,"Southside, Drains to Harbor"
88,J632-S_depth,0.1204108591529996,0.1245235413665587,0.1204110498106361,0.1201185901219479,0.124216375976448,J632-S,Eager Park,Canal Street Creek
89,J637-S_depth,0.1769333826929869,0.1241698150395242,0.176672255852888,0.1721193612749353,0.1221100513350589,J637-S,Eager Park,Canal Street Creek
90,J640-S_depth,0.1530073959548767,0.0912988962748676,0.1528142667253808,0.149006136777191,0.0892377178038353,J640-S,Eager Park,Canal Street Creek
91,J659-S_depth,0.2172450464090627,0.2261829104884916,0.2172449835212103,0.2171997398341603,0.2261238492612817,J659-S,Baltimore Highlands,Harris Creek
92,J672-S_depth,0.1447289309092848,0.1260591665574635,0.1446165432769997,0.1446750753950158,0.1260140073255343,J672-S,Canton,Harris Creek
