,Base,I,UG+I,V,V&I,link_id,neighborhood,link_name
88,0.0,7.210713840000789e-08,6.971900100017888e-09,1.6795236999929668e-09,2.2952371900005278e-08,C759-S,Locust Point,C759-S_velocity
89,0.0,0.00019766024995210123,-3.38020833996755e-08,-3.042109965999823e-07,0.00019764874010949965,C761-S,Locust Point,C761-S_velocity
90,0.0,4.191384402449979e-05,-4.7762307099803725e-08,-1.1143696900199791e-05,3.1547665468499575e-05,C771-S,Locust Point,C771-S_velocity
91,0.0,4.1130512630500014e-05,-2.669285890022008e-08,-2.045970949100199e-06,3.90482520688999e-05,C772-S,Locust Point,C772-S_velocity
92,0.0,5.492231019700068e-06,5.666892900031348e-09,1.65525962500003e-07,5.627616895800087e-06,C779-S,Locust Point,C779-S_velocity
93,0.0,-0.0007663538775803001,-2.3117880925001798e-06,-8.49013798500135e-07,-0.0007663589995295002,C79-S,Canton,C79-S_velocity
94,0.0,-0.00013907813975030004,8.13060099997577e-09,-1.1646558477099991e-05,-0.00015108142962960008,C7-S,Orangeville,C7-S_velocity
95,0.0,9.533091005000023e-06,5.351958900037292e-09,1.8546456234000376e-06,1.1609133273199975e-05,C816-S,South Clifton Park,C816-S_velocity
96,0.0,-0.0001854358297613,-3.51483760000805e-09,-1.3963756846300016e-05,-0.00020967614856620004,C830-S,Downtown,C830-S_velocity
97,0.0,-0.0046158343977592,-2.9285836964100878e-05,-0.0009410285699464997,-0.005080719384941,C839-S,Eager Park,C839-S_velocity
98,0.0,2.7335108670661447e-06,-6.804097519613652e-11,9.329316882417853e-11,2.733327548459556e-06,C84-S,Canton,C84-S_velocity
99,0.0,2.3551676279400012e-05,-4.4413299969160713e-11,2.827943999849161e-10,2.3551716959899997e-05,C89-S,Canton,C89-S_velocity
