,BGN,BGNx3,Base,I,UG+I,V,V&I,link_name,link_id,neighborhood
41,-3.100555379998739e-08,-3.928243999615916e-10,0.0,3.4197399970499996e-05,5.8424533999797135e-09,-3.959628405499939e-06,2.9696827729299986e-05,C351-S_velocity,C351-S,Fells Point
42,2.5340529999882955e-10,9.615130002957328e-11,0.0,-7.742630779550004e-05,2.6088299999015713e-10,-5.106896549199953e-06,-8.792429147539999e-05,C355-S_velocity,C355-S,Fells Point
43,-4.845057640029751e-08,-8.093464002288664e-10,0.0,-6.127995999961194e-09,8.50525100001831e-09,-1.7992609515500232e-05,-1.7987593560400174e-05,C361-S_velocity,C361-S,Fells Point
44,-4.249790869995801e-08,-1.1178905000037292e-09,0.0,-2.9471732452800007e-05,6.095532000048413e-09,-9.574305286899967e-06,-3.8689337253399966e-05,C362-S_velocity,C362-S,Fells Point
45,-1.3200388991100069e-05,-1.3156437535700007e-05,0.0,-5.502424122900008e-05,1.2431989597000079e-06,-4.5294559428400065e-05,-9.805234048650005e-05,C37-S_velocity,C37-S,South Clifton Park
46,1.5219892600002935e-07,-2.0119983400049626e-08,0.0,2.2860972324100122e-05,-5.5522080299888824e-08,1.0751980694999417e-06,2.2713474476500134e-05,C382-S_velocity,C382-S,Canton
47,-4.089380320005179e-08,3.7624599995896707e-10,0.0,2.099472360999992e-05,-3.116857970005861e-08,-1.0971875069300035e-05,7.2057119594000005e-06,C3-S_velocity,C3-S,Upper Fells Point
48,4.2982428996238276e-09,3.8977729984596143e-10,0.0,5.671733494589954e-05,6.180366999425368e-10,-0.0002927377082707003,-0.00023938481733680027,C417-S_velocity,C417-S,Canton Industrial
49,-2.598481955002306e-07,-4.262902900033921e-09,0.0,-8.601063921370028e-05,4.470027579984645e-08,-0.00013851165418229993,-0.00021993478587020027,C418-S_velocity,C418-S,Canton Industrial
50,3.4670462029963434e-07,-2.5949492600280816e-08,0.0,5.674625701829975e-05,-7.913075100122319e-09,-3.4609158900003947e-06,5.340593659869993e-05,C422-S_velocity,C422-S,Canton Industrial
51,-9.493983727500025e-06,-6.913309126099928e-06,0.0,2.855906961220006e-05,5.003391723200053e-06,1.0567408659000257e-06,2.7805616980799996e-05,C449-S_velocity,C449-S,Broadway East
52,-7.943911388269987e-05,-0.00016527164515299942,0.0,0.0004725897104776002,-3.658334490119937e-05,-0.00020797576936259967,0.0002375967796828006,C462-S_velocity,C462-S,Eager Park
53,-6.451669251280028e-05,-0.00013705540100230002,0.0,0.0004874680465697997,1.3948234660800078e-05,-0.00019049037038250003,0.0002755376558915999,C463-S_velocity,C463-S,Eager Park
54,-1.3316177499989729e-07,-2.217928499930258e-09,0.0,-1.6810268899970782e-08,2.3324115500100717e-08,-9.985893820699861e-06,-9.977788154799877e-06,C473-S_velocity,C473-S,Berea
55,-1.2027525499993738e-07,-2.3338124998089488e-09,0.0,-2.9504278094998927e-06,1.9510435300120962e-08,-6.009346007799848e-06,-8.936410610599962e-06,C474-S_velocity,C474-S,Berea
56,-8.925000061915656e-12,-2.7645099967901765e-11,0.0,2.2928602127999555e-06,-4.712160002473542e-11,-1.6626086020799912e-05,-1.3616695177299989e-05,C478-S_velocity,C478-S,Orangeville
57,-2.951891190770004e-05,-0.00011672828994040022,0.0,-0.00044525512079770027,-4.335879071130011e-05,-0.00013119855759440024,-0.0005435054643441002,C530-S_velocity,C530-S,Eager Park
58,-5.002707099239991e-05,-0.00015180567818279993,0.0,-0.00046566880079009995,-7.263132310709997e-05,-0.00012075537423629989,-0.0005488021636319,C532-S_velocity,C532-S,Eager Park
59,-2.3693770548700128e-05,-9.45662290237001e-05,0.0,-0.0004755785371506001,-7.520048185000053e-06,-0.00010001421072730002,-0.0005246376291089001,C548-S_velocity,C548-S,Dunbar-Broadway
60,-0.00010968018245450031,-0.0003741422344007003,0.0,-0.0017427353967832,-0.0003697696652512003,-0.0003622629102120003,-0.0018655399763165001,C549-S_velocity,C549-S,Dunbar-Broadway
61,1.0146181997870707e-09,1.0171620013280092e-10,0.0,-1.0684323269996229e-07,1.8480482998940728e-09,-7.989759716940008e-05,-8.001186269290025e-05,C550-S_velocity,C550-S,Dunbar-Broadway
