,link_name,BGN,BGNx3,Base,I,UG+I,V,V&I,link_id,neighborhood
64,C576-S_velocity,34.98048724384173,32.449681777436155,35.85237836015379,17.224581491565147,29.22311257392934,31.542958526810818,16.296048765471923,C576-S,Dunbar-Broadway
65,C602-S_velocity,54.29886596924543,54.30195776327112,54.30201462883839,54.32050324003154,54.30255586032399,52.38948479709092,52.40644337215646,C602-S,Downtown
66,C638-S_velocity,10.422988543412291,10.42356537102486,10.422936637221008,10.08274399051851,10.423555996461028,10.271269615807054,9.931821538619246,C638-S,Downtown
67,C650-S_velocity,25.72949815000756,25.730460791663283,25.73047813013803,25.73290827497289,25.730647661827668,25.623064812882152,25.625644103669607,C650-S,Downtown
68,C659-S_velocity,27.755606139199436,27.75807023700428,27.758127927564324,27.917696709643845,27.75852600426378,26.33246097573181,26.49285496399532,C659-S,Downtown
69,C65-S_velocity,99.67515123096314,96.91854394184516,102.47037076807489,83.14971487711829,95.8522044801937,93.15275964931206,73.9425021179505,C65-S,McElderry Park
70,C677-S_velocity,28.29107115572321,28.286944244554125,28.287207957302957,28.31153541059468,28.287060570849544,27.71404708835022,27.740696451123853,C677-S,Downtown
71,C681-S_velocity,45.862948125668055,45.86288704964279,45.86297112968665,36.14795984883804,45.86273572055818,44.20444420339118,34.655987105932404,C681-S,Downtown
72,C685-S_velocity,44.43360483079604,44.433531301567534,44.43364509353099,34.27818776632512,44.43340668100492,43.060329309897256,33.038565104490374,C685-S,Downtown
73,C687-S_velocity,27.63584116078301,27.63593492035788,27.635936791039832,27.637014448131016,27.635953608762243,27.45217506272285,27.45317928550438,C687-S,Federal Hill
74,C68-S_velocity,36.05967260771744,33.86189224459574,38.19864059383143,10.26321303561281,33.41367830730557,31.310722267869696,5.612623705398587,C68-S,Patterson Park
75,C69-S_velocity,38.45571954003116,32.222474440187,39.97056292349628,16.038127014383917,36.60723572316871,34.8361225592252,15.129590398641335,C69-S,McElderry Park
76,C708-S_velocity,27.37789400460775,27.379157315719187,27.379178868150444,27.383553615088,27.379403810817344,26.74784703320765,26.75214968723661,C708-S,Federal Hill
77,C725-S_velocity,17.676421529549902,17.676767959796024,17.676774315310098,17.025894797610057,17.676839030920792,17.432952882596535,16.78713136689495,C725-S,Federal Hill
78,C728-S_velocity,19.86584397081864,19.862736842196227,19.86293512943469,19.86334406181744,19.86288021469184,19.62539112847363,19.627069553402997,C728-S,Federal Hill
79,C729-S_velocity,29.634463512999897,29.62985958172113,29.630155984589734,29.64245118078665,29.630065090613957,29.311088863600247,29.32507576256648,C729-S,Federal Hill
80,C734-S_velocity,33.22239708887917,33.2147924686609,33.2166647864718,28.41563982020445,33.2148332632867,32.940696300864474,28.16434066931913,C734-S,Federal Hill
81,C740-S_velocity,37.66492682235873,37.66536521003528,37.66537256423325,37.66576046093114,37.66545098099941,37.02867085674693,37.02912300610773,C740-S,Federal Hill
