,node_name,BGN,BGNx3,Base,I,UG+I,V,V&I,node_id,neighborhood,historic_stream
29,J260-S_depth,0.1283470424276566,0.1283470263942808,0.1287283650785044,0.1126996254595287,0.1126995317128612,0.1266857517537172,0.1109066005847673,J260-S,Broadway East,Canal Street Creek
30,J266-S_depth,0.1277668405217192,0.1277595870441078,0.1283949404079836,0.1197618180805222,0.1197586508686944,0.1258430184889015,0.1173661406983028,J266-S,Clifton Park,Canal Street Creek
31,J268-S_depth,0.0891302127292829,0.0891304135305288,0.0891207846740184,0.089193027416534,0.0891929470087016,0.087877503524032,0.0879554025491238,J268-S,Clifton Park,Canal Street Creek
32,J273-S_depth,0.0670663575090598,0.0670589471344234,0.0670522149405373,0.067795859036571,0.067795502952128,0.0672227908161176,0.0679445393038387,J273-S,Clifton Park,Canal Street Creek
33,J278-S_depth,0.1500911262269121,0.150091092790584,0.1571746525654134,0.1169045007979957,0.1166794283312693,0.1506725445219279,0.1126198852697382,J278-S,Broadway East,Canal Street Creek
34,J27-S_depth,0.1043232585629208,0.1043232671895773,0.1043232737759227,0.0802349458607578,0.0802349452925863,0.1043232394319341,0.0802349552168261,J27-S,Locust Point,"Southside, Drains to Harbor"
35,J280-S_depth,0.2468337283414799,0.2468334309450615,0.2569618449996018,0.2145652306107215,0.2141297330094307,0.2476927477755284,0.2064118996665256,J280-S,Broadway East,Canal Street Creek
36,J328-S_depth,0.2808477496231662,0.2808236880665375,0.2803166497759564,0.2864968696780122,0.2865159797869461,0.2749009859317951,0.2809286661796536,J328-S,Broadway East,Canal Street Creek
37,J329-S_depth,0.166819807055657,0.1668268857630937,0.16979900990139,0.1405600223856682,0.1404744516516895,0.1636864182657846,0.135030309840203,J329-S,Broadway East,Canal Street Creek
38,J338-S_depth,0.231736483795834,0.2145726187022051,0.2349431687288741,0.1802210088273889,0.17965590986145,0.2233558732166748,0.1703814582709233,J338-S,Eager Park,Canal Street Creek
39,J33-S_depth,0.316551400862782,0.3165514499594783,0.3165514534849371,0.2896750775521791,0.2896750683518462,0.3165513865215038,0.2896750704034211,J33-S,Locust Point,"Southside, Drains to Harbor"
40,J34-S_depth,0.1408342828049795,0.1408342905000923,0.140834296367029,0.1408350961289066,0.1408350974593249,0.1408342516538988,0.1408350947227407,J34-S,Locust Point,"Southside, Drains to Harbor"
