,BGN,BGNx3,Base,I,UG+I,V,V&I,node_name,node_id,neighborhood,historic_stream
114,1.1788660628231362e-07,-3.060519582209764e-08,0.0,-0.008278149991550604,-1.4180038129807393e-07,-0.007517954771724317,-0.0154420791505879,J772-S_depth,J772-S,Canton,"Northside, Drains to Harbor"
115,-2.7715180209164636e-07,3.6793179503114004e-08,0.0,0.0008484581208631076,-1.8478242419517343e-07,-0.00047439604802619606,0.0003694476113333123,J782-S_depth,J782-S,Patterson Park,Harris Creek
116,1.881269399983676e-08,-1.5063938985093728e-10,0.0,4.0310880050631326e-09,-7.93376749019803e-09,-0.00027377135895079174,-0.0002737708535867911,J787-S_depth,J787-S,Berea,Armistead Creek
117,-0.0002460224326377991,-0.0012965466861259989,0.0,-0.026931510737253694,-0.0038670527610237815,-0.0034100456295639014,-0.0289701205098922,J789-S_depth,J789-S,Dunbar-Broadway,Canal Street Creek
118,1.6678474157316714e-09,6.307479538669725e-11,0.0,5.783515034940567e-07,-8.017118913183907e-10,-0.000831077012399789,-0.0008305185189746989,J78-S_depth,J78-S,Federal Hill,"Southside, Drains to Harbor"
119,8.086352927316742e-06,3.61320608004978e-05,0.0,0.0018698894325721027,2.2940499004198145e-05,-0.0013317456575537845,0.0005596434213833157,J792-S_depth,J792-S,Canton,"Northside, Drains to Harbor"
120,-4.207792961286039e-08,-9.059981112558013e-08,0.0,-0.04035752367282061,-2.1469527550221912e-07,-0.0008163156877456224,-0.042270690653367304,J799-S_depth,J799-S,Fells Point,"Northside, Drains to Harbor"
121,1.8094561959891564e-09,2.8115204053769105e-09,0.0,-0.011208686805226797,2.6110388129385598e-08,-0.00030201634844106984,-0.011517743593167762,J7-S_depth,J7-S,Canton Industrial Area,"Northside, Drains to Harbor"
122,-0.0005480580877186003,-0.0005480777504068002,0.0,-0.018080511509418,-0.002684458199179812,-0.00337807258687689,-0.021254636629227303,J801-S_depth,J801-S,Broadway East,Canal Street Creek
123,7.519975105299559e-06,-2.454571989302101e-06,0.0,-0.006495625796935897,-2.4015900149942926e-06,-0.0003626859686595013,-0.006847221858006194,J80-S_depth,J80-S,Federal Hill,"Southside, Drains to Harbor"
124,4.458005242735652e-08,-1.3996572678642849e-08,0.0,-0.0105920016181828,-2.4506714990657485e-09,-0.002555789997887692,-0.013176896762336465,J88-S_depth,J88-S,Federal Hill,"Southside, Drains to Harbor"
125,-3.9513295302384677e-08,-2.4440651114066014e-08,0.0,-0.004013015166223904,-2.954430633472782e-08,-5.6368433112408134e-05,-0.004069043162671926,J8-S_depth,J8-S,Canton Industrial Area,"Northside, Drains to Harbor"
