,BGN,BGNx3,Base,I,UG+I,V,V&I,node_name,node_id,neighborhood
43,-0.27651193967530396,-0.5611316842681902,0.0,1.684879645707836,-0.17931420128328845,-0.7091099055656205,0.8296803382625733,J385-S_flow,J385-S,"('Broadway East', 'Harris Creek')"
44,5.223297971923557e-08,-1.6351067984032852e-06,0.0,0.08779864418095329,-5.6347167083359295e-06,-0.14608373468840252,-0.060236002720250426,J3-S_flow,J3-S,"('Fells Point', 'Northside, Drains to Harbor')"
45,-0.09818957406386364,-0.09747451447553601,0.0,-9.72806934056436e-05,0.00013534705169426786,-0.07940484081612631,-0.07936039324974598,J413-S_flow,J413-S,"('Broadway East', 'Harris Creek')"
46,-0.3013985112755222,-0.6103693836777122,0.0,0.4562536628105551,-0.7162461487727274,-0.9444630497752176,-0.6313083957022076,J421-S_flow,J421-S,"('McElderry Park', 'Harris Creek')"
47,-0.0003145771643020545,-5.1853378728594635e-06,0.0,-3.975425702718027e-05,5.531027064620275e-05,-0.0407819842322068,-0.04075877671706518,J42-S_flow,J42-S,"('Locust Point', 'Southside, Drains to Harbor')"
48,-0.0005208408962937838,-8.585289499762894e-06,0.0,-6.582055282855492e-05,9.157642132562316e-05,-0.0077267849449467185,-0.0076954712526711155,J433-S_flow,J433-S,"('Madison-Eastend', 'Harris Creek')"
49,-0.15858003006781374,-0.9033414472393626,0.0,-1.9496382894126856,-0.34854503697684347,-0.562730046661736,-2.0051706241702343,J437-S_flow,J437-S,"('Patterson Park', 'Harris Creek')"
50,-0.2596843924650738,-0.5157815897102918,0.0,-1.737552051140824,-0.6148477673696764,-0.8656343984708652,-2.412996215708967,J438-S_flow,J438-S,"('McElderry Park', 'Harris Creek')"
51,2.758023491811201e-06,1.2961189894689085e-06,0.0,-0.00035431557518927903,3.1939220646037825e-07,-0.007208133990515897,-0.007557558107961437,J450-S_flow,J450-S,"('Madison-Eastend', 'Harris Creek')"
52,3.101116471571075e-05,-1.319624030715616e-06,0.0,-3.826909688253721e-06,3.958872091036625e-06,-0.01023751380866944,-0.010228562691137366,J456-S_flow,J456-S,"('Orangeville', 'Harris Creek')"
53,8.460825806111405e-05,-3.6003514070070963e-06,0.0,-1.044101907987649e-05,1.0801054220466177e-05,-9.82895934071859e-05,-7.200702813725535e-05,J45-S_flow,J45-S,"('Locust Point', 'Southside, Drains to Harbor')"
54,-0.0002697206075379377,-5.5113992005750845e-06,0.0,-0.12722868234471285,0.00017080352514620145,-0.08253762753663096,-0.20744793044947718,J460-S_flow,J460-S,"('Orangeville', 'Harris Creek')"
55,-0.0003129825778431794,-4.508150501614239e-05,0.0,-0.25516134149400305,0.00019548466656260644,-0.08312182570147364,-0.3448758155451257,J461-S_flow,J461-S,"('Baltimore Highlands', 'Harris Creek')"
56,-0.00017720746257143816,-2.921002129951944e-06,0.0,-2.239434966533338e-05,3.115735605652148e-05,-0.03605638548606471,-0.03604604279246315,J46-S_flow,J46-S,"('Locust Point', 'Southside, Drains to Harbor')"
57,0.00016616198291896644,-7.070722677138264e-06,0.0,-2.050509576423387e-05,2.1212168033191148e-05,-0.11896295841735949,-0.1189150496032596,J471-S_flow,J471-S,"('Orangeville', 'Harris Creek')"
58,-0.0005537106171606965,-9.12709808531531e-06,0.0,-6.997441865230769e-05,9.735571290736544e-05,-0.0471244365751593,-0.04709042014771381,J480-S_flow,J480-S,"('McElderry Park', 'Harris Creek')"
59,-4.705696497353529e-05,-2.3628188104751757e-05,0.0,-1.1759918858324667,0.00015148113946494846,-0.1942706913856167,-1.357196319888038,J484-S_flow,J484-S,"('Baltimore Highlands', 'Harris Creek')"
60,-0.0010889430799014832,-2.816679207917616e-05,0.0,-0.5311932563198951,0.00041293992044799666,-0.20861395558744,-0.7311762380842453,J491-S_flow,J491-S,"('Kresson', 'Harris Creek')"
61,0.0005817305066915246,-2.475448964656124e-05,0.0,-7.178801997431705e-05,7.426346893968372e-05,-0.02370929590815729,-0.023531312299528206,J492-S_flow,J492-S,"('Baltimore Highlands', 'Harris Creek')"
62,0.00042406130142480514,-0.587973939210124,0.0,-5.233096911139157e-05,5.413548528876433e-05,-0.014257260167583885,-0.014127898920516246,J49-S_flow,J49-S,"('Washington Hill', 'Canal Street Creek')"
63,7.228606213294242e-05,-3.3865976791780383e-06,0.0,0.000252787473348004,4.453583433594588e-06,-8.373269440720144e-05,0.00019758761472621345,J4-S_flow,J4-S,"('Canton', 'Northside, Drains to Harbor')"
