,node,scenario,count,time_above
421,J578-S_depth,V&I,0,0
422,J587-S_depth,V&I,14,70
423,J592-S_depth,V&I,0,0
424,J5-S_depth,V&I,5,25
425,J609-S_depth,V&I,0,0
426,J60-S_depth,V&I,5,25
427,J619-S_depth,V&I,8,40
428,J62-S_depth,V&I,14,70
429,J632-S_depth,V&I,0,0
430,J640-S_depth,V&I,0,0
431,J672-S_depth,V&I,0,0
432,J675-S_depth,V&I,9,45
433,J686-S_depth,V&I,1,5
434,J712-S_depth,V&I,0,0
435,J714-S_depth,V&I,7,35
436,J71-S_depth,V&I,15,75
437,J722-S_depth,V&I,0,0
438,J72-S_depth,V&I,0,0
439,J733-S_depth,V&I,1,5
440,J749-S_depth,V&I,1,5
441,J751-S_depth,V&I,0,0
442,J756-S_depth,V&I,14,70
443,J758-S_depth,V&I,0,0
444,J760-S_depth,V&I,0,0
445,J761-S_depth,V&I,5,25
446,J762-S_depth,V&I,0,0
447,J765-S_depth,V&I,0,0
448,J772-S_depth,V&I,7,35
449,J782-S_depth,V&I,0,0
450,J787-S_depth,V&I,0,0
451,J789-S_depth,V&I,0,0
452,J799-S_depth,V&I,0,0
453,J7-S_depth,V&I,21,105
454,J80-S_depth,V&I,0,0
455,J88-S_depth,V&I,20,100
456,J8-S_depth,V&I,23,115
457,J128-S_depth,V&I,0,0
458,J136-S_depth,V&I,10,50
459,J138-S_depth,V&I,6,30
460,J157-S_depth,V&I,7,35
461,J211-S_depth,V&I,0,0
462,J232-S_depth,V&I,9,45
463,J240-S_depth,V&I,4,20
464,J266-S_depth,V&I,0,0
465,J278-S_depth,V&I,0,0
466,J27-S_depth,V&I,1,5
467,J280-S_depth,V&I,7,35
468,J328-S_depth,V&I,19,95
469,J338-S_depth,V&I,4,20
470,J33-S_depth,V&I,15,75
471,J361-S_depth,V&I,7,35
472,J413-S_depth,V&I,3,15
473,J433-S_depth,V&I,1,5
474,J450-S_depth,V&I,0,0
475,J456-S_depth,V&I,5,25
476,J471-S_depth,V&I,17,85
477,J484-S_depth,V&I,7,35
478,J491-S_depth,V&I,2,10
479,J506-S_depth,V&I,10,50
480,J512-S_depth,V&I,0,0
481,J534-S_depth,V&I,8,40
482,J539-S_depth,V&I,19,95
483,J548-S_depth,V&I,23,115
484,J567-S_depth,V&I,0,0
485,J586-S_depth,V&I,0,0
486,J637-S_depth,V&I,0,0
487,J659-S_depth,V&I,14,70
488,J694-S_depth,V&I,0,0
489,J695-S_depth,V&I,0,0
490,J732-S_depth,V&I,4,20
491,J748-S_depth,V&I,0,0
492,J764-S_depth,V&I,0,0
493,J78-S_depth,V&I,0,0
494,J792-S_depth,V&I,22,110
495,J801-S_depth,V&I,0,0
